Date,Price,Open,High,Low,Vol,Change_Perc
2025-09-06,110194.4,110660.1,111313.4,110010.5,21140.0,-0.0040999999999999995
2025-09-07,111150.1,110194.4,111594.1,110185.6,23810.0,0.0087
2025-09-08,112068.4,111140.9,112896.9,110630.5,41950.0,0.0083
2025-09-09,111516.5,112066.3,113259.9,110781.1,53760.0,-0.0049
2025-09-10,113963.5,111517.1,114300.7,110938.8,62240.0,0.0219
2025-09-11,115490.2,113963.5,115490.6,113446.6,47810.0,0.0134
2025-09-12,116042.8,115490.5,116684.3,114766.1,56480.0,0.0048
2025-09-13,115924.9,116042.6,116292.4,115207.3,30790.0,-0.001
2025-09-14,115314.6,115924.8,116165.6,115158.3,25840.0,-0.0053
2025-09-15,115362.1,115314.2,116723.2,114412.2,48680.0,0.0004
2025-09-16,116795.9,115362.1,116970.0,114801.0,43050.0,0.0124
2025-09-17,116425.9,116795.9,117284.2,114782.5,56850.0,-0.0032
2025-09-18,117086.0,116426.5,117910.4,116144.9,46500.0,0.005699999999999999
2025-09-19,115649.0,117089.2,117470.7,115133.5,36980.0,-0.0123
2025-09-20,115699.2,115649.0,116138.4,115424.9,20420.0,0.0004
